f_scale,latitude,longitude
EF0,48.63,-97.62
EF0,48.44,-97.32
EF1,48.44,-98.88
EF0,48.42,-97.31
EF0,48.36,-100.9
EF2,48.35,-105.61
EF0,47.97,-114.07
EF0,47.95,-100.93
EF1,47.8,-95.7
EF1,47.8,-95.58
EF2,47.32,-95.55
EF2,47.3,-95.91
EF1,47.08,-93.93
EF0,47.05,-98.3
EF1,47.01,-93.78
EF0,46.91,-101.26
EF0,46.88,-101.49
EF0,46.67,-103.66
EF0,46.65,-96.42
EF0,46.61,-107.87
EF0,46.5,-104.19
EF0,46.47,-97.02
EF0,46.46,-95.16
EF0,46.43,-97.03
EF1,46.37,-96.84
EF1,46.24,-105.76
EF1,46.2,-69.1
EF0,46.17,-103.43
EF0,46.15,-102.64
EF0,46.06,-97.35
EF1,45.82,-96.27
EF0,45.75,-122.45
EF0,45.67,-67.88
EF0,45.61,-96.14
EF0,45.6,-99.88
EF0,45.53,-95.82
EF0,45.52,-117.37
EF0,45.44,-105.6
EF0,45.35,-95.16
EF0,45.28,-89.69
EF0,45.26,-89.42
EF1,45.22,-123.19
EF0,45.07,-69.95
EF0,44.97,-91.23
EF0,44.94,-87.86
EF0,44.87,-84.69
EF0,44.71,-97.91
EF0,44.66,-91.2
EF0,44.66,-98.99
EF0,44.66,-97.94
EF0,44.61,-97.3
EF0,44.49,-97.54
EF0,44.45,-97.85
EF1,44.43,-87.88
EF1,44.42,-87.77
EF2,44.38,-88.77
EF1,44.37,-88.74
EF1,44.37,-88.37
EF1,44.35,-88.84
EF0,44.35,-88.19
EF1,44.34,-88.74
EF1,44.34,-88.42
EF0,44.33,-108.83
EF0,44.32,-95.73
EF1,44.31,-88.19
EF1,44.31,-87.89
EF1,44.3,-88.46
EF0,44.26,-89.53
EF1,44.25,-88.19
EF1,44.24,-88.16
EF0,44.18,-92.97
EF0,44.04,-91.55
EF0,43.9,-112.49
EF0,43.83,-95.22
EF0,43.72,-95.17
EF0,43.7,-89.48
EF0,43.65,-85.31
EF1,43.36,-89.35
EF0,43.32,-77.72
EF0,43.3,-85.81
EF0,43.28,-123.42
EF0,43.26,-85.87
EF0,43.19,-115.88
EF0,43.17,-92.73
EF0,43.1,-97.35
EF1,43.07,-83.72
EF0,42.98,-95.06
EF0,42.96,-106.09
EF2,42.9,-83.57
EF0,42.9,-91.14
EF3,42.88,-93.68
EF0,42.87,-91.22
EF0,42.87,-93.66
EF0,42.86,-83.93
EF1,42.85,-74.2
EF2,42.85,-74.19
EF2,42.85,-83.77
EF1,42.85,-93.6
EF0,42.84,-95.4
EF0,42.83,-84.18
EF1,42.83,-84.03
EF2,42.82,-93.47
EF0,42.81,-84.31
EF0,42.8,-114.41
EF1,42.79,-73.81
EF1,42.79,-93.33
EF0,42.79,-93.29
EF0,42.78,-93.23
EF0,42.78,-103.4
EF0,42.75,-96.38
EF0,42.74,-83.98
EF0,42.73,-102.19
EF0,42.72,-95.59
EF0,42.69,-95.62
EF1,42.68,-96.45
EF0,42.64,-103.06
EF0,42.63,-96.52
EF0,42.61,-94.05
EF1,42.6,-95.36
EF0,42.6,-102.34
EF1,42.58,-103.17
EF1,42.57,-96.56
EF1,42.56,-95.79
EF0,42.55,-106.77
EF1,42.53,-74.58
EF0,42.53,-83.83
EF0,42.53,-103.66
EF1,42.51,-96.58
EF0,42.49,-96.59
EF3,42.43,-97.88
EF0,42.39,-96.73
EF0,42.36,-96.87
EF4,42.33,-96.11
EF0,42.33,-101.95
EF0,42.32,-103.42
EF0,42.26,-75.42
EF2,42.26,-96.96
EF0,42.25,-75.45
EF2,42.25,-98.09
EF0,42.23,-111.32
EF0,42.22,-90.24
EF1,42.22,-96.26
EF2,42.21,-96.28
EF2,42.17,-90.15
EF2,42.15,-96.33
EF0,42.13,-103.42
EF4,42.13,-97.08
EF0,42.1,-71.1
EF0,42.08,-103.73
EF2,42.08,-96.39
EF1,42.05,-77.55
EF0,42,-89.99
EF0,41.98,-72.52
EF0,41.98,-104.97
EF1,41.92,-80.3
EF1,41.91,-79.09
EF1,41.9,-72.65
EF1,41.9,-80.13
EF1,41.9,-86.01
EF0,41.89,-79.36
EF0,41.87,-97.34
EF0,41.86,-93.59
EF1,41.85,-93.67
EF0,41.85,-98.59
EF0,41.85,-104.51
EF1,41.73,-88.89
EF0,41.73,-102.85
EF1,41.72,-72.41
EF0,41.72,-104.17
EF0,41.7,-89.56
EF1,41.68,-77.99
EF1,41.67,-93.91
EF1,41.67,-104.02
EF0,41.66,-89.98
EF2,41.62,-83.48
EF0,41.59,-94.07
EF0,41.58,-103.71
EF0,41.56,-89.34
EF0,41.56,-99.26
EF2,41.54,-83.57
EF1,41.5,-81.47
EF1,41.47,-83.22
EF1,41.45,-90.72
EF1,41.45,-91.08
EF1,41.44,-98.36
EF0,41.43,-90.73
EF1,41.43,-90.01
EF2,41.41,-87.93
EF1,41.37,-91.35
EF0,41.32,-98.72
EF1,41.3,-87.55
EF1,41.3,-87.55
EF1,41.3,-85.8
EF1,41.3,-84.01
EF0,41.3,-83.99
EF0,41.3,-83.99
EF0,41.3,-103.57
EF0,41.29,-87.91
EF2,41.29,-88.25
EF0,41.28,-83.86
EF0,41.28,-103.73
EF0,41.27,-82.86
EF0,41.27,-105.05
EF0,41.26,-88.39
EF1,41.25,-84.04
EF1,41.25,-83.6
EF2,41.24,-88.3
EF0,41.24,-83.28
EF0,41.23,-97.26
EF0,41.23,-103.48
EF0,41.21,-102.97
EF0,41.19,-84.11
EF1,41.19,-83.71
EF0,41.19,-103.2
EF0,41.18,-82.84
EF1,41.17,-85.99
EF0,41.14,-82.94
EF0,41.13,-101.13
EF0,41.11,-101.2
EF0,41.1,-73.63
EF0,41.1,-99.91
EF1,41.08,-86.89
EF0,41.08,-99.78
EF2,41.04,-85.89
EF2,41.04,-85.88
EF0,41.02,-99.95
EF1,40.99,-84.34
EF2,40.99,-84.34
EF2,40.98,-88.93
EF1,40.97,-87.12
EF1,40.97,-84.46
EF0,40.96,-88.93
EF1,40.96,-84.39
EF2,40.93,-89.04
EF1,40.91,-97.64
EF1,40.9,-80.4
EF0,40.87,-82.17
EF0,40.85,-97.75
EF1,40.82,-86.59
EF1,40.81,-81.8
EF1,40.8,-97.59
EF0,40.79,-94.37
EF1,40.78,-77.74
EF1,40.78,-87.27
EF0,40.78,-96.29
EF0,40.76,-87.3
EF3,40.75,-89.35
EF1,40.75,-86.11
EF0,40.75,-84.8
EF0,40.74,-98.73
EF0,40.73,-86.39
EF0,40.72,-84.68
EF2,40.69,-86.88
EF1,40.69,-86.12
EF0,40.69,-80.94
EF0,40.69,-97.86
EF0,40.68,-74.45
EF2,40.68,-96.46
EF2,40.68,-96.46
EF0,40.67,-80.91
EF2,40.65,-85.67
EF1,40.63,-81.45
EF4,40.62,-89.57
EF0,40.58,-89.66
EF2,40.58,-89.65
EF2,40.57,-87.1
EF1,40.56,-87.15
EF2,40.56,-87.08
EF2,40.56,-86.37
EF2,40.55,-85.84
EF0,40.55,-98.05
EF1,40.55,-98.04
EF0,40.54,-87.2
EF0,40.54,-81.26
EF0,40.52,-87.67
EF0,40.51,-85.72
EF0,40.51,-80.95
EF1,40.5,-87.08
EF0,40.5,-84.3
EF0,40.49,-87.73
EF1,40.49,-81.11
EF0,40.48,-104.74
EF2,40.46,-86.13
EF1,40.43,-86.63
EF0,40.41,-86.69
EF0,40.39,-104.83
EF2,40.38,-86.28
EF2,40.37,-98.01
EF0,40.36,-83.18
EF0,40.36,-103.1
EF2,40.35,-87.93
EF3,40.35,-86.83
EF2,40.33,-86.39
EF0,40.3,-86.92
EF2,40.3,-86.95
EF1,40.29,-86.81
EF0,40.27,-103.79
EF1,40.26,-77.65
EF0,40.26,-103.21
EF3,40.24,-88.17
EF1,40.22,-86.01
EF0,40.22,-96.76
EF2,40.21,-87.09
EF2,40.21,-87.08
EF1,40.21,-86.03
EF0,40.2,-108.33
EF0,40.18,-84.03
EF2,40.18,-96.92
EF1,40.17,-86.96
EF0,40.16,-103.4
EF0,40.16,-103.36
EF0,40.15,-122.22
EF0,40.14,-97.02
EF0,40.14,-104.55
EF2,40.13,-87.46
EF2,40.12,-87.25
EF0,40.11,-79.01
EF2,40.1,-87.53
EF1,40.08,-86.38
EF1,40.07,-101.46
EF0,40.05,-105.05
EF0,40.05,-122.14
EF1,40.02,-87.6
EF2,40.02,-86.53
EF0,39.97,-82.53
EF0,39.96,-103.32
EF2,39.94,-87.9
EF0,39.92,-102.9
EF1,39.89,-84.19
EF2,39.88,-88.19
EF0,39.88,-83
EF0,39.87,-86.67
EF1,39.86,-88.99
EF3,39.86,-98.54
EF0,39.85,-86.73
EF3,39.85,-98.5
EF3,39.84,-88.33
EF1,39.83,-88.27
EF1,39.83,-104.64
EF0,39.82,-98.83
EF1,39.82,-99.58
EF0,39.81,-98.68
EF1,39.78,-88.47
EF1,39.75,-88.6
EF1,39.69,-91.45
EF0,39.65,-75.74
EF0,39.63,-76.18
EF0,39.61,-103.58
EF0,39.59,-91.8
EF0,39.58,-88.41
EF0,39.57,-102.1
EF0,39.52,-76.27
EF0,39.52,-89.19
EF0,39.46,-76.45
EF0,39.46,-101.58
EF0,39.45,-101.61
EF1,39.4,-89.08
EF0,39.4,-92.06
EF0,39.39,-87.31
EF0,39.39,-103.5
EF0,39.38,-87.41
EF1,39.38,-92.12
EF1,39.33,-89.68
EF0,39.26,-76.59
EF0,39.26,-89.7
EF0,39.24,-122.26
EF0,39.23,-89.73
EF0,39.19,-93.49
EF0,39.16,-102.65
EF0,39.14,-100.56
EF2,39.13,-89.83
EF0,39.09,-99
EF0,39.08,-77.32
EF2,39.07,-89.73
EF1,39.07,-88.81
EF2,39,-88.93
EF0,38.97,-99.2
EF0,38.97,-99.2
EF0,38.94,-91.52
EF0,38.94,-91.5
EF0,38.94,-91.46
EF0,38.94,-102.17
EF0,38.94,-102.17
EF0,38.92,-102.35
EF0,38.91,-90.81
EF1,38.87,-86.51
EF1,38.85,-88.09
EF1,38.85,-99.58
EF0,38.84,-76.81
EF0,38.83,-99.43
EF0,38.83,-101.18
EF3,38.81,-90.12
EF1,38.8,-90.15
EF0,38.76,-99.86
EF2,38.76,-90.43
EF2,38.75,-90.49
EF1,38.71,-89.52
EF1,38.71,-93.39
EF0,38.7,-76.9
EF3,38.69,-90.75
EF0,38.68,-99.75
EF1,38.66,-91.13
EF2,38.64,-87.22
EF0,38.62,-103.58
EF0,38.61,-86.61
EF0,38.61,-90.29
EF1,38.59,-90.79
EF2,38.54,-87.61
EF0,38.51,-89.19
EF0,38.5,-99.05
EF2,38.49,-87.92
EF1,38.48,-89.25
EF1,38.46,-84.38
EF0,38.45,-88.28
EF1,38.45,-87.1
EF2,38.43,-88.15
EF4,38.42,-89.45
EF1,38.42,-88.17
EF2,38.42,-88.15
EF1,38.41,-91.05
EF0,38.4,-76.54
EF0,38.4,-87.89
EF1,38.4,-90.73
EF2,38.37,-88.53
EF0,38.33,-92.87
EF1,38.3,-84.25
EF1,38.3,-78.49
EF0,38.28,-76.74
EF1,38.28,-88.76
EF0,38.24,-99.18
EF0,38.22,-76.75
EF1,38.2,-99.28
EF0,38.2,-77.66
EF0,38.18,-77.18
EF4,38.14,-99.47
EF0,38.12,-85.91
EF0,38.12,-85.91
EF0,38.1,-77.54
EF0,38.1,-102.43
EF0,38.07,-103.53
EF1,38.02,-93.48
EF1,37.98,-93.61
EF0,37.97,-89.11
EF0,37.94,-93.64
EF0,37.94,-86.1
EF0,37.91,-82.72
EF0,37.91,-82.72
EF0,37.86,-101.98
EF0,37.85,-101.4
EF2,37.84,-88.62
EF1,37.84,-93.88
EF1,37.79,-95.07
EF0,37.77,-101.47
EF0,37.77,-101.39
EF0,37.76,-101.44
EF0,37.74,-98.49
EF2,37.73,-87.76
EF3,37.7,-87.94
EF0,37.69,-103.53
EF0,37.68,-101.76
EF0,37.68,-106.01
EF0,37.67,-102.38
EF0,37.65,-93.83
EF1,37.61,-88.83
EF1,37.61,-88.71
EF0,37.61,-89.66
EF1,37.52,-99.5
EF1,37.52,-94.42
EF0,37.51,-101.88
EF0,37.51,-102.3
EF0,37.47,-101.94
EF0,37.44,-85.27
EF0,37.41,-99.3
EF0,37.39,-93.97
EF1,37.33,-88.97
EF1,37.33,-89.73
EF1,37.33,-85.4
EF1,37.32,-89.27
EF1,37.32,-89.22
EF0,37.3,-89.51
EF1,37.28,-89.71
EF2,37.28,-88.37
EF0,37.28,-78.13
EF1,37.25,-89.95
EF0,37.21,-93.27
EF1,37.18,-89.77
EF1,37.17,-94.28
EF1,37.16,-87.27
EF1,37.16,-86.9
EF1,37.15,-87.91
EF3,37.15,-87.49
EF3,37.12,-88.64
EF2,37.12,-88.5
EF2,37.12,-88.44
EF1,37.12,-88.21
EF2,37.1,-88.88
EF1,37.07,-86.14
EF1,37.07,-84.6
EF2,37.06,-87.05
EF0,37.06,-84.61
EF2,37.03,-86.24
EF1,37.03,-88.54
EF3,37.02,-89.73
EF0,37,-88.35
EF0,36.99,-95.43
EF0,36.98,-88.52
EF0,36.96,-88.94
EF1,36.96,-95.83
EF1,36.95,-88.82
EF0,36.95,-96.07
EF1,36.94,-86.06
EF1,36.94,-89.1
EF1,36.94,-88.71
EF1,36.92,-89.22
EF1,36.9,-88.89
EF0,36.9,-100.43
EF0,36.87,-88.49
EF1,36.86,-92.01
EF0,36.86,-88.52
EF0,36.85,-87.93
EF0,36.85,-100.94
EF1,36.83,-94.62
EF1,36.81,-89.63
EF2,36.81,-94.85
EF1,36.81,-94.77
EF0,36.8,-90.13
EF0,36.8,-100.33
EF1,36.79,-93.39
EF0,36.78,-93.38
EF2,36.76,-90.26
EF1,36.73,-90.03
EF2,36.73,-89.85
EF1,36.73,-87.48
EF0,36.73,-88.32
EF1,36.7,-90.27
EF1,36.69,-90.76
EF0,36.69,-90.32
EF2,36.68,-87.56
EF1,36.63,-93.58
EF0,36.63,-93.58
EF1,36.63,-90.47
EF1,36.62,-96.6
EF0,36.61,-88.65
EF1,36.6,-95.69
EF1,36.6,-95.68
EF1,36.6,-95.67
EF1,36.59,-90.74
EF0,36.59,-88.43
EF1,36.59,-86.69
EF0,36.59,-86.52
EF1,36.59,-95.73
EF0,36.55,-88.73
EF0,36.55,-85.92
EF0,36.55,-95.82
EF1,36.55,-95.81
EF1,36.54,-94.82
EF0,36.53,-86.63
EF0,36.51,-79.08
EF1,36.51,-86.72
EF0,36.49,-86.15
EF2,36.49,-94.78
EF1,36.49,-95.9
EF1,36.48,-86.81
EF0,36.47,-86.24
EF0,36.46,-86.34
EF2,36.44,-86.91
EF1,36.44,-96
EF1,36.43,-83.6
EF1,36.42,-96.08
EF0,36.4,-86.34
EF1,36.38,-95.08
EF0,36.36,-86.77
EF0,36.36,-86.73
EF0,36.34,-101.82
EF0,36.33,-86.92
EF0,36.33,-86.55
EF1,36.33,-86.2
EF1,36.32,-93.93
EF1,36.31,-86.25
EF1,36.3,-93.7
EF1,36.3,-86.27
EF0,36.28,-87.06
EF1,36.28,-86.33
EF1,36.25,-95.29
EF0,36.23,-89.25
EF2,36.22,-86.55
EF0,36.21,-86.77
EF1,36.2,-94.57
EF1,36.2,-87.56
EF1,36.19,-87.63
EF1,36.19,-87.6
EF1,36.16,-97.46
EF1,36.15,-95.5
EF1,36.13,-83.63
EF0,36.13,-96.6
EF1,36.12,-95.52
EF1,36.12,-95.23
EF0,36.1,-95.53
EF0,36.1,-95.37
EF0,36.09,-87.17
EF0,36.09,-95.4
EF0,36.08,-87.22
EF0,36.08,-95.42
EF1,36.04,-94.54
EF0,36.03,-96.79
EF2,36.03,-95.76
EF1,36.02,-94.06
EF1,36.02,-95.77
EF2,36.01,-92.1
EF0,36.01,-96.88
EF0,35.98,-78.39
EF1,35.98,-94.61
EF0,35.98,-96.94
EF1,35.97,-87.8
EF0,35.97,-95.84
EF1,35.97,-95.85
EF0,35.96,-97.04
EF1,35.96,-95.42
EF0,35.95,-98.99
EF1,35.95,-94.76
EF0,35.95,-101.57
EF1,35.94,-94.73
EF0,35.93,-86.86
EF0,35.93,-96.61
EF0,35.88,-87.12
EF0,35.88,-98.19
EF0,35.87,-96.02
EF1,35.84,-93.75
EF0,35.84,-86.08
EF0,35.81,-95.3
EF0,35.81,-95.29
EF1,35.79,-83.34
EF2,35.78,-87.65
EF1,35.75,-92.28
EF1,35.75,-90.38
EF1,35.74,-83.18
EF0,35.74,-86.7
EF1,35.74,-86.7
EF3,35.73,-97.14
EF0,35.72,-86.67
EF2,35.72,-97.15
EF0,35.71,-86.35
EF2,35.69,-97.23
EF1,35.65,-97.36
EF1,35.64,-96.46
EF2,35.63,-94.47
EF1,35.62,-89.7
EF1,35.62,-97.48
EF1,35.6,-94.5
EF1,35.6,-98.23
EF0,35.58,-78.25
EF0,35.58,-86.66
EF0,35.56,-96.81
EF1,35.55,-96.62
EF0,35.53,-96.65
EF0,35.5,-86.95
EF0,35.5,-98.12
EF2,35.49,-92.57
EF0,35.49,-86.08
EF2,35.49,-97.85
EF3,35.48,-98.1
EF1,35.47,-87.66
EF0,35.46,-96.8
EF2,35.46,-96.79
EF0,35.46,-98.01
EF0,35.45,-97.7
EF1,35.45,-97.67
EF0,35.44,-98
EF0,35.44,-97.96
EF1,35.43,-87.78
EF1,35.43,-94.81
EF0,35.41,-97.46
EF1,35.41,-97.55
EF0,35.38,-119.05
EF1,35.37,-89.5
EF1,35.37,-89.5
EF0,35.34,-97.02
EF1,35.34,-97.61
EF0,35.32,-97.8
EF4,35.31,-97.14
EF5,35.3,-97.61
EF4,35.28,-97.63
EF0,35.27,-97.89
EF3,35.25,-97.3
EF1,35.23,-86.39
EF1,35.22,-86.44
EF0,35.22,-86.64
EF1,35.19,-97.45
EF0,35.14,-94.88
EF1,35.1,-86.78
EF1,35.07,-94.59
EF0,35.03,-110.69
EF0,35.03,-99.88
EF0,34.99,-102.92
EF0,34.95,-86.88
EF1,34.91,-91.14
EF2,34.91,-90.56
EF1,34.89,-92.39
EF1,34.89,-91.17
EF1,34.85,-84.39
EF1,34.82,-91.25
EF1,34.82,-84.43
EF1,34.81,-77.41
EF1,34.79,-92.81
EF0,34.79,-102.96
EF0,34.78,-96.71
EF0,34.76,-86.97
EF0,34.74,-89.74
EF0,34.73,-87.5
EF1,34.72,-76.76
EF0,34.72,-82.42
EF1,34.7,-86.5
EF2,34.7,-76.77
EF0,34.66,-98.95
EF1,34.62,-94.37
EF1,34.61,-86.64
EF2,34.6,-93.83
EF1,34.6,-93.26
EF1,34.6,-97.93
EF0,34.58,-98.56
EF0,34.56,-97.91
EF0,34.56,-97.5
EF1,34.55,-90.03
EF1,34.52,-90.09
EF0,34.52,-99.39
EF0,34.5,-92.1
EF1,34.49,-82.79
EF1,34.47,-93.32
EF1,34.47,-83.91
EF2,34.46,-85.99
EF1,34.46,-83.92
EF1,34.45,-93.8
EF1,34.45,-83.93
EF1,34.45,-90.42
EF1,34.45,-96.28
EF1,34.44,-92.58
EF0,34.43,-92.19
EF1,34.43,-101.22
EF2,34.41,-94.46
EF3,34.4,-84.9
EF1,34.38,-93.41
EF1,34.37,-94.5
EF1,34.34,-93.44
EF3,34.34,-84.95
EF0,34.31,-80.91
EF2,34.29,-93.48
EF1,34.28,-93.49
EF1,34.28,-94.3
EF1,34.27,-86.13
EF2,34.27,-86.11
EF1,34.27,-84.56
EF1,34.27,-98.8
EF1,34.23,-87.11
EF1,34.21,-87.18
EF1,34.21,-93.57
EF0,34.2,-86.15
EF1,34.2,-86.11
EF0,34.2,-98.97
EF1,34.19,-87.12
EF2,34.18,-89.91
EF0,34.17,-98.98
EF2,34.15,-90.77
EF1,34.14,-87.32
EF0,34.08,-84.52
EF0,34.08,-84.52
EF1,34.06,-87.37
EF1,34.01,-87.43
EF0,33.99,-85
EF1,33.97,-84.38
EF0,33.94,-78.25
EF0,33.94,-96.73
EF0,33.93,-87.5
EF1,33.92,-87.54
EF1,33.87,-88.23
EF1,33.84,-88.35
EF1,33.84,-97.68
EF0,33.84,-97.59
EF1,33.82,-91.68
EF0,33.81,-97.88
EF0,33.8,-97.93
EF1,33.73,-87.9
EF0,33.7,-79.01
EF1,33.68,-90.8
EF0,33.67,-85.31
EF0,33.65,-91.74
EF0,33.65,-82.46
EF0,33.65,-79.04
EF0,33.59,-91.02
EF1,33.55,-91.24
EF2,33.55,-91.23
EF1,33.53,-91.33
EF0,33.53,-83.68
EF1,33.51,-91.36
EF2,33.51,-83.75
EF2,33.48,-102.56
EF0,33.47,-84.04
EF0,33.45,-101.86
EF1,33.43,-97.89
EF1,33.41,-85.28
EF0,33.41,-97.67
EF0,33.36,-97.1
EF1,33.33,-80.59
EF0,33.32,-93.75
EF0,33.32,-90.86
EF1,33.31,-80.56
EF1,33.3,-80.56
EF0,33.29,-84.76
EF1,33.27,-88.31
EF1,33.27,-82.61
EF2,33.14,-84.68
EF2,33.1,-84.52
EF0,33.08,-91.23
EF0,33.07,-90.74
EF1,33.04,-91.97
EF0,33.03,-90.87
EF1,33,-98.78
EF0,32.99,-98.81
EF1,32.96,-82.16
EF1,32.94,-91.06
EF3,32.93,-88.64
EF0,32.86,-100.45
EF1,32.85,-87.17
EF0,32.77,-98.07
EF1,32.75,-98.03
EF0,32.74,-93.89
EF2,32.73,-91.57
EF0,32.72,-93.83
EF0,32.72,-97.94
EF0,32.7,-95.55
EF1,32.64,-92.38
EF3,32.64,-88.87
EF0,32.64,-97.81
EF0,32.59,-85.7
EF1,32.57,-91.2
EF0,32.57,-97.67
EF0,32.55,-97.66
EF2,32.53,-85.74
EF1,32.49,-94.15
EF1,32.46,-94.06
EF0,32.45,-91.22
EF1,32.45,-93.96
EF4,32.41,-97.75
EF1,32.38,-93.09
EF0,32.38,-80.46
EF0,32.36,-97.63
EF1,32.35,-97.62
EF0,32.33,-93.81
EF0,32.33,-93.8
EF1,32.33,-96.63
EF0,32.32,-94.73
EF0,32.31,-94.8
EF0,32.31,-97.3
EF0,32.3,-94.66
EF0,32.3,-94.42
EF0,32.29,-94.28
EF0,32.28,-94.35
EF0,32.26,-94.23
EF3,32.26,-97.5
EF1,32.24,-93.53
EF1,32.22,-93.45
EF1,32.2,-93.57
EF0,32.2,-90.7
EF1,32.18,-93.59
EF0,32.16,-90.77
EF0,32.02,-94.92
EF1,31.97,-94.76
EF0,31.96,-94.66
EF0,31.93,-93.69
EF0,31.93,-94.59
EF1,31.92,-94.53
EF0,31.91,-94.4
EF0,31.86,-99.01
EF1,31.83,-98.79
EF0,31.73,-98.78
EF1,31.68,-91.55
EF0,31.68,-98.48
EF0,31.66,-98.58
EF0,31.64,-84.16
EF1,31.63,-88.54
EF1,31.62,-87.85
EF1,31.59,-88.06
EF1,31.59,-88.53
EF0,31.57,-89.59
EF1,31.54,-88.16
EF1,31.53,-88.67
EF0,31.51,-98.14
EF0,31.5,-98.14
EF1,31.47,-90.01
EF2,31.45,-89.86
EF1,31.38,-93.04
EF1,31.35,-89.15
EF1,31.32,-93.11
EF3,31.32,-89.35
EF1,31.32,-93.98
EF0,31.31,-84.35
EF4,31.28,-89.47
EF2,31.21,-89.66
EF2,31.11,-89.92
EF1,30.84,-93.98
EF1,30.81,-89.5
EF1,30.79,-94.2
EF0,30.75,-92.43
EF1,30.74,-94.5
EF0,30.71,-91.08
EF0,30.71,-94.87
EF1,30.7,-94.02
EF0,30.68,-93.47
EF0,30.65,-91.2
EF0,30.52,-93.08
EF1,30.51,-88.15
EF1,30.49,-94.95
EF0,30.48,-93.24
EF0,30.42,-83.18
EF1,30.42,-93.24
EF1,30.35,-81.51
EF1,30.34,-93.44
EF0,30.3,-91.11
EF0,30.3,-103.78
EF0,30.28,-91.21
EF1,30.28,-89.89
EF0,30.28,-92.59
EF1,30.27,-91.9
EF1,30.25,-91.83
EF0,30.18,-85.12
EF0,30.16,-93.3
EF1,30.09,-85.19
EF1,30.04,-90.27
EF1,30.04,-93.87
EF0,30.02,-93.17
EF0,30.01,-90.2
EF1,29.95,-91.78
EF0,29.8,-81.55
EF0,29.75,-84.89
EF0,29.68,-84.88
EF0,29.68,-90.56
EF1,29.57,-90.7
EF0,29.55,-98.35
EF1,29.52,-81.31
EF0,29.34,-98.12
EF0,29.33,-99.73
EF0,29.24,-89.99
EF0,28.87,-96.98
EF0,28.42,-97.13
EF0,28.38,-80.74
EF0,28.27,-80.75
EF0,28.1,-97.38
EF0,28.04,-97.38
EF0,27.94,-82.46
EF0,27.87,-82.61
EF0,27.83,-82.52
EF0,27.74,-82.71
EF0,27.72,-82.73
EF0,27.7,-82.34
EF0,27.68,-97.53
EF0,27.54,-97.77
EF0,27.43,-97.8
EF0,27.33,-82.16
EF0,27.03,-82.41
EF1,26.78,-80.25
EF0,26.75,-81.76
EF0,26.67,-80.67
EF0,26.58,-80.04
EF0,26.51,-80.08
EF0,26.38,-80.08
EF0,26.33,-80.44
EF0,26.24,-80.09
EF0,26.22,-80.44
EF0,26.09,-80.17
EF0,24.64,-81.35